Index,Model,Price,specs,gen,Core_Thread,RAM,Storage,Graphics,display,os,Warranty
277,HP Pavilion 15s-fq5010TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹63,350",62,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
278,Samsung Galaxy Book2 15 Laptop (12th Gen Core i5/ 8GB/ 256GB SSD/ Win11),"₹61,990",,12th Gen Intel Core i5 1235U ,"10 Cores, 12 Threads",8 GB LPDDR4x RAM,256 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
279,HP Pavilion 15-EG2019TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 2GB Graph),"₹78,200",60,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,2 GB NVIDIA GeForce MX550,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
280,Samsung Galaxy Book2 15 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹79,990",62,11th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
281,Dell G15-5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹84,990",67,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
282,Lenovo IdeaPad 3 81WQ00MQIN Laptop (Celeron N4020/ 8GB/ 256GB/ Win11),"₹25,917",,Intel Celeron  N4020 ,"Dual Core, 2 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
283,HP 15s-fq2627TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹40,580",,11th Gen Intel Core i3 1125G4,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
284,Samsung Galaxy Book2 Pro 360 13 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹1,13,990",73,12th Gen Intel Core i7 1260P ,"Octa Core, 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,Intel Iris Xe Graphics,"13.3 inches, 1080 x 1920 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
285,Asus Vivobook 15 X515MA-BR101W Laptop (Pentium Quad Core/ 4GB/ 1TB HDD/ Win11 Home),"₹23,399",,Intel Pentium  N5030,Quad Core,4 GB DDR4 RAM,1 TB Hard Disk,Intel UHD,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
286,Lenovo IdeaPad Gaming 3 15ACH6 82K201RRIN Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹65,990",73,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
287,Lenovo IdeaPad 3 82H801L7IN (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹37,952",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
288,HP 14s-dy2506TU Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11 Home),"₹35,990",,11th Gen Intel Core i3 1125G4,"Quad Core, 8 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
289,Lenovo IdeaPad 3 15ITL6 82H801L3IN Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11 Home),"₹36,400",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
290,Asus VivoBook X515JA-EJ701WS Laptop (10th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),"₹58,000",,10th Gen Intel Core i7 1065G7,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Plus,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
291,Apple MacBook Pro 16 inch MK1A3HN Laptop (M1 Max 10-core CPU/ 32GB/ 1TB SSD/ Mac OS Monterey/ 32-core GPU),"₹2,96,894",61,Apple M1 Max M1 Max,10 Cores,32 GB Unified Memory RAM,1 TB SSD,32-core GPU,"16.2 inches, 3456 x 2234 pixels",Mac OS,1 Year Warranty
292,Dell Inspiron 3511 Laptop (11th Gen Core i3/ 8GB/ 1TB 256GB SSD/ Win10),"₹41,490",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,Intel Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS
293,Lenovo IdeaPad Gaming 3 82K100MVIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹58,900",66,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650 ,"15.6 inches, 1920 x 1080 pixels",Windows 10  OS,1 Year Warranty
294,Xiaomi Mi Notebook Ultra Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10),"₹60,498",65,11th Gen Intel Core i5 11300H ,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 3200 x 2000 pixels",Windows 10  OS,1 Year Warranty
295,Xiaomi RedmiBook e-Learning Edition (11th Gen Core i3/ 8GB/ 256GB SSD/ Win10),"₹31,990",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
296,Dell Inspiron 5518 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win10 Home),"₹67,990",71,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
297,Lenovo IdeaPad 3 15ITL6 82H8014BIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home),"₹55,990",61,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
298,Lenovo Yoga 9i 82BG005JIN Laptop (11th Gen Core i7/ 16GB/ 1TB/ Win10 Home),"₹1,72,990",67,11th Gen Intel Core i7 1185G7 ,"Quad Core, 8 Threads",16 GB LPDDR4x RAM,1 TB SSD,Intel Iris Xe Graphics,"14 inches, 3840 x 2160 pixels, Touch Screen",Windows 10 OS,1 Year Warranty
299,Apple MacBook Pro 2020 MYD82HN Laptop (Apple M1/ 8GB/ 256GB SSD/ macOS),"₹1,10,990",,Apple M1 Apple M1 Chip,Octa Core (4P + 4E),8 GB DDR4 RAM,256 GB SSD,"13.3 inches, 2560 x 1600 pixels",Mac OS,1 Year Warranty,Backlit Keyboard
300,HP EliteBook 840 G6 (7YY01PA) Laptop (8th Gen Core i7/ 8GB/ 512GB SSD/ Win10/ 2GB Graph),"₹1,46,000",66,8th Gen Intel Core i7 8565U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,2 GB Radeon RX 550,"14 inches, 1920 x 1080 pixels",Windows 10 OS,3 Year Warranty
301,Dell Inspiron 15 3520 D560915WIN9S Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹47,200",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
302,Dell Inspiron 3520 D560866WIN9S Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹59,350",60,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
303,Lenovo V15 82KDA00YIH Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ DOS),"₹42,137",,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",DOS OS,1 Year Warranty
304,HP 245 G8 3S7L2PA Laptop (AMD Ryzen 3 3250U/ 4GB/ 1TB HDD/ Win11 Home),"₹24,797",,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",4 GB DDR4 RAM,1 TB Hard Disk,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
305,Acer Aspire 3 A314-35 UN.K0SSI.040 Laptop ( Pentium Silver N6005/ 4 GB/ 256 GB SSD/ Win11 Home),"₹37,990",,Intel Pentium Quad Core N6005,"Quad Core, 4 Threads",4 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,"14 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
306,Lenovo IdeaPad 3i ‎82RJ005BUS Laptop (12th Gen Core i5/ 8GB/ 256GB SSD/ Win11 Home),"₹49,990",62,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,256 GB SSD,Intel iris Xe Integrated ,"14 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
307,Asus VivoBook 15 X1500EA-EJ3379WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹42,990",,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4  RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
308,Apple MacBook Pro 16 inch Laptop (M2 Pro 12-core CPU/ 16GB/ 512GB SSD/ Mac OS/ 19-core GPU),"₹2,49,900",,Apple M2 Pro,12 Cores (8P + 4E),16 GB Unified Memory RAM,512 GB SSD,19-core GPU,"16.2 inches, 3456 x 2234 pixels",Mac OS,1 Year Warranty
309,Apple MacBook Pro 16 inch Laptop (M2 Pro 12-core CPU/ 16GB/ 1TB SSD/ Mac OS/ 19-core GPU),"₹2,69,900",,2nd Gen Apple M2 Pro,12 Cores (8P + 4E),16 GB Unified Memory RAM,1 TB SSD,19-core GPU,"16.2 inches, 3456 x 2234 pixels",Mac OS,1 Year Warranty
310,Apple MacBook Pro M2 2022 Laptop (Apple M2/ 16GB/ 512GB SSD/ macOS),"₹1,59,990",,Apple M2 Apple M2 Chip,Octa Core,16 GB Unified Memory RAM,512 GB SSD,10 Core GPU,"13.3 inches, 2560 x 1600 pixels",Mac OS,1 Year Warranty
311,Lenovo V15 82KBA01KIH Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ FreeDOS),"₹52,500",60,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",DOS OS,1 Year Warranty
312,HP 15s-du3612TU Laptop (11th Gen Core i3/ 8GB/ 1TB 256 SSD/ Win11 Home),"₹41,990",62,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
313,Chuwi CoreBook X Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),"₹33,990",,12th Gen Intel ‎Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel HD Graphics,"14 inches, 2160 x 1440 pixels",Windows 11 OS,1 Year Warranty
314,Asus ExpertBook 1411CEA-BV0622 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ FreeDOS),"₹38,990",,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1366 x 768 pixels",DOS OS,1 Year Warranty
315,Dell Latitude 5320 2-in-1 Laptop (11th Gen Core i5/ 16GB/ 256GB SSD/ Win10 Pro),"₹87,999",65,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",16 GB DDR4 RAM,256 GB SSD,Intel UHD Graphics,"13.3 inches, 1920 x 1080 pixels, Touch Screen",Windows 10  OS,1 Year Warranty
316,HP Envy x360 13-bf0121TU  Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹86,990",72,12th Gen Intel Core i5 1230U,"10 Cores, 12 Threads",16 GB LPDDR4X RAM,512 GB SSD,Intel Integrated Iris Xe,"13.4 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
317,Dell Vostro 3420 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹46,800",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
318,MSI Modern 15 B12M Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),"₹68,490",62,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
319,Asus Vivobook 15 X1502ZA-EJ381WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹42,990",,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
320,HP Pavilion x360 14-ek0137TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹59,990",66,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
321,HP 255 G8 Business Laptop (Athlon 3050U/ 8GB/ 1TB HDD/ Win11),"₹27,499",,3rd Gen AMD Athlon  3050U,"Dual Core, 2 Threads",8 GB DDR4 RAM,1 TB Hard Disk,AMD Radeon Graphics,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
322,Lenovo E41-55 82FJ00ALIH Laptop (Athlon 3150U/ 4GB/ 1TB HDD/ DOS),"₹18,990",,3rd Gen AMD Athlon  3150U,"Dual Core, 2 Threads",4 GB DDR4 RAM,1 TB Hard Disk,AMD Radeon AMD,"14 inches, 1366 x 768 pixels",DOS OS,1 Year Warranty
323,Lenovo E41-55 82FJ00BLIH Laptop (Athlon 3050U/ 4GB/ 256GB SSD/ Win10),"₹20,990",,3rd Gen AMD Athlon  3050U,"Dual Core, 2 Threads",4 GB DDR4 RAM,256 GB SSD,AMD Radeon AMD,"14 inches, 1366 x 768 pixels",Windows 10 OS,1 Year Warranty
324,MSI Katana GF66 12UC-632IN Gaming Laptop (12th Gen Core i7/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹81,990",73,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
325,Dell Inspiron 5620 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 2GB Graph),"₹98,450",69,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,2 GB NVIDIA GeForce MX570,"16 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
326,Asus ROG Strix G15 G513IE-HN088WS Gaming Laptop (Ryzen 7 4800H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹82,990",69,4th Gen AMD Ryzen 7  4800H,"Octa Core, 16 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050 Ti,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
327,HP Envy x360 13-bf0085TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹82,990",63,12th Gen Intel Core i5 1230U,"10 Cores (2P + 8E), 12 Threads",8 GB LPDDR4x RAM,512 GB SSD,Intel Iris Xe Graphics,"13.3 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
328,Lenovo Ideapad Slim 3 81WD014XIN Laptop (10th Gen Core i3/ 4GB/ 256GB SSD/ Win11),"₹31,990",,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",4 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
329,Dell Alienware M15 R7 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹1,68,990",84,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
330,Asus Vivobook 16X M1603QA-MB512WS Laptop (Ryzen 5-5600H/ 16GB/ 512GB SSD/ Win11 Home),"₹54,980",68,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon Vega 7,"16 inches, 1200 x 1920 pixels",Windows 11 OS,1 Year Warranty
331,Lenovo Legion 5 Pro 82RF00E1IN Gaming Laptop (12th Gen Core i7/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),"₹2,18,110",,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",32 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 3070Ti,"16 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
332,Lenovo IdeaPad Slim 3 82RK007JIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹45,500",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,‎Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
333,Lenovo IdeaPad 3 82KU017KIN Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹44,737",,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
334,HP 255 G8 6X4B2PA Laptop (AMD Athlon 3050/ 4GB/ 256GB SSD/ DOS),"₹21,733",,3rd Gen AMD Athlon  3050U,"Dual Core, 2 Threads",4 GB DDR4 RAM,256 GB SSD,‎AMD Integrated,"15.6 inches, 1920 x 1080 pixels",DOS OS,1 Year Warranty
335,Asus Vivobook 15 OLED X1505ZA-L1311WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹49,990",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
336,HP Pavilion 15-eg2018TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 2GB Graph),"₹59,175",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,2 GB NVIDIA GeForce MX550,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
337,Lenovo IdeaPad 3 15IAU7 82RK0090IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹63,590",60,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics ,"15.6 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
338,Lenovo ThinkPad E14 21E3S04X00 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹75,000",66,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
339,HP Omen 17-ck1023TX Gaming Laptop (12th Gen Core i9/ 32GB/ 2TB SSD/ Win11/ 16GB Graph),"₹3,09,990",85,12th Gen Intel Core i9 12900HX,"16 Cores (8P + 8E), 24 Threads",32 GB DDR5 RAM,2 TB SSD,16 GB NVIDIA GeForce 3080Ti,"16.1 inches, 2560 x 1440 pixels",Windows 11  OS,1 Year Warranty
340,Lenovo IdeaPad Gaming 3 82S900HNIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹80,990",73,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
341,Lenovo Legion 5 Pro 16IAH7H 82RF00DYIN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,64,990",84,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3060,"16 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
342,Acer Predator Helios 300 PH315-55s Spatial Labs Edition Gaming Laptop (12th Gen Core i9/ 32GB/ 2TB SSD/ Win11/ RTX 3080),"₹3,19,999",84,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",32 GB DDR5 RAM,2 TB SSD,NVIDIA GeForce RTX 3030,"15.6 inches, 3840 x 2160 pixels",Windows 11 OS,1 Year Warranty
343,Asus TUF F15 FA507RE-HN043WS 2022 Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹89,990",79,6th Gen AMD Ryzen 7 6800H ,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050 Ti,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
344,HP Envy 16-h0026tx Laptop (12th Gen Core i9/ 32GB/ 2TB SSD/ Win11/ 6GB Graph),"₹2,20,208",78,12th Gen Intel Core i9 12900H ,"14 Cores, 20 Threads",32 GB DDR4 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 3840 x 2160 pixels",Windows 11  OS,1 Year Warranty
345,HP Envy x360 13-bf0063TU Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11),"₹1,14,990",71,12th Gen Intel Core i7 1250U,"10 Cores, 12 Threads",16 GB LPDDR4x RAM,1 TB SSD,Intel Iris X Graphics,"13.3 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
346,Asus VivoBook 14 2022 X1402ZA-MW311WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹47,990",63,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
347,HP Envy x360 13-bf0078TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹80,990",65,12th Gen Intel Core i5 1230U,"10 Cores, 12 Threads",8 GB LPDDR4x RAM,512 GB SSD,Intel Iris X Graphics,"13.3 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
348,Lenovo V15 Gen 2 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹40,871",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
349,MSI Crosshair 15 B12UGZ-1012IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),"₹1,40,990",81,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 3070,"15.6 inches, 2560 x 1440 pixels",Windows 11 OS,2 Year Warranty
350,MSI Raider GE77HX 12UHS-205IN Gaming Laptop (12th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 16GB Graph),"₹3,49,990",86,12th Gen Intel Core i9 12900HX,"16 Cores (8P + 8E), 24 Threads",32 GB DDR5 RAM,2 TB SSD,16 GB NVIDIA GeForce RTX 3080 Ti,"17.3 inches, 3840 x 2160 pixels",Windows 11 OS,2 Year Warranty
351,MSI Alpha 15 B5EEK-235IN Laptop (Ryzen 7 5800H /8GB/ 512GB SSD/ Win11 Home/ 8GB Graph),"₹82,490",75,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",8 GB DDR4 RAM,512 GB SSD,8 GB AMD Radeon RX 6600M,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
352,Asus VivoBook 14 X415JA-EK324WS Laptop (10th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹32,749",,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",8 GB  RAM,512 GB SSD, Intel UHD Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
353,MSI Delta 15 A5EFK-201IN Gaming Laptop (AMD Ryzen 7 5800H/ 16 GB/ 1TB SSD/ Win11 Home/ 10GB Graph),"₹1,00,990",79,5th Gen AMD Ryzen 7 5800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,1 TB SSD,10 GB AMD Radeon RX 6700M,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
354,Lenovo Legion 5 15ACH6 82JU018YIN Gaming Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹1,16,490",75,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
